Model,Accuracy (%),Time (s)
kNN,56.5217391304,1.5349538326263428
LR,84.107946027,0.5833532810211182
SVM,97.3013493253,2.5723836421966553
DT,80.5097451274,0.1865835189819336
Stacking,81.8590704648,172.61148285865784
AdaBoost,65.8170914543,9.032024383544922
GBDT,88.3058470765,24.14781951904297
RF,86.5067466267,12.135250329971313
